GuestlD,GuestName,Gender,Age,CustomerNationality,BookingDate,CheckInDate,CheckOutDate,Children,TotalGuests,RoomCount,CustomerType,ReservationStatus,RepeatGuests,StayingDuration,DaysUntilCheckIn
1,Mohammed Davis,Male,44,Russian,8/12/2024,8/19/2024,8/19/2024,0,2,1,Leisure,Late Check-Out,First-Time Visitor,4,8
2,Amit Johnson,Female,43,Russian,8/12/2024,8/19/2024,8/19/2024,0,5,3,Business,Completed,First-Time Visitor,3,8
3,Ali Brown,Male,37,Turkish,8/10/2024,8/17/2024,8/17/2024,0,2,1,Leisure,Completed,First-Time Visitor,3,16
4,Carlos Garcia,Male,28,Azerbaijani,8/9/2024,8/16/2024,8/16/2024,2,4,2,Business,Completed,First-Time Visitor,4,21
5,Anita Brown,Male,39,Indian,8/1/2024,8/9/2024,8/9/2024,0,2,1,Leisure,Late Check-Out,First-Time Visitor,4,8
6,Amit Johnson,Male,46,Russian,8/1/2024,8/8/2024,8/8/2024,0,5,3,Leisure,Completed,First-Time Visitor,4,8
7,Anita Johnson,Male,35,Turkish,7/22/2024,7/29/2024,7/29/2024,0,2,1,Leisure,Completed,Regular Guest,3,16
8,Priya Garcia,Male,37,Russian,7/10/2024,7/17/2024,7/17/2024,0,4,2,Leisure,Completed,First-Time Visitor,4,21
9,Fatima Miller,Female,42,Russian,7/10/2024,7/17/2024,7/17/2024,0,4,2,Leisure,Late Check-Out,First-Time Visitor,4,9
10,Azerbaijanisca Smith,Male,34,Saudi Arabian,7/1/2024,7/8/2024,7/8/2024,3,5,3,Leisure,Late Check-Out,First-Time Visitor,4,9
11,Mohammed Davis,Male,44,Russian,7/1/2024,7/8/2024,7/8/2024,0,2,1,Leisure,Late Check-Out,Regular Guest,4,8
12,Amit Johnson,Female,43,Russian,7/1/2024,7/8/2024,7/8/2024,0,5,3,Leisure,Completed,First-Time Visitor,3,8
13,Ali Brown,Male,37,Iranian,6/17/2024,6/24/2024,6/24/2024,0,2,1,Leisure,Completed,Regular Guest,3,16
14,Carlos Garcia,Male,28,German,6/17/2024,6/24/2024,6/24/2024,2,4,2,Corporate,Completed,First-Time Visitor,4,21
15,Anita Brown,Male,39,Russian,6/16/2024,6/23/2024,6/23/2024,0,2,1,Leisure,Late Check-Out,First-Time Visitor,4,8
16,Amit Johnson,Male,46,Russian,6/12/2024,6/19/2024,6/19/2024,0,5,3,Leisure,Completed,Regular Guest,4,8
17,Anita Johnson,Male,35,Turkish,6/12/2024,6/19/2024,6/19/2024,0,2,1,Leisure,Completed,First-Time Visitor,3,16
18,Priya Garcia,Male,37,Saudi Arabian,6/6/2024,6/13/2024,6/13/2024,0,4,2,Business,Completed,First-Time Visitor,4,21
19,Fatima Miller,Female,42,Azerbaijani,6/5/2024,6/10/2024,6/10/2024,0,4,2,Leisure,Late Check-Out,Regular Guest,4,9
20,John Smith,Male,34,Turkish,6/2/2024,6/7/2024,6/7/2024,3,5,3,Leisure,Late Check-Out,First-Time Visitor,4,9
21,Nick,Male,45,Saudi Arabian,5/24/2024,5/31/2024,5/31/2024,0,2,2,Leisure,Completed,First-Time Visitor,4,9
22,Jenny,Female,38,Russian,5/19/2024,5/26/2024,5/26/2024,0,2,1,Corporate,Completed,Regular Guest,9,21
23,Mrs Yuki Yoshida,Female,32,Turkish,7/1/2024,7/8/2024,7/8/2024,0,2,1,Leisure,Completed,Regular Guest,9,21
24,Mrs Pham Thi Van Anh,Female,27,Indian,6/17/2024,6/24/2024,6/24/2024,1,3,2,Leisure,Completed,First-Time Visitor,5,27
25,Mr Hiroshi Uchida,Male,40,Russian,8/15/2024,8/22/2024,8/29/2024,1,3,2,Corporate,Completed,First-Time Visitor,9,21
26,Mr Thomas,Male,30,Russian,8/13/2024,8/20/2024,8/27/2024,0,2,1,Corporate,Completed,First-Time Visitor,4,8
27,Mrs ML Serra,Female,48,Iranian,8/6/2024,8/13/2024,8/20/2024,1,3,2,Leisure,Completed,Regular Guest,3,8
28,Rahul,Male,25,Russian,8/5/2024,8/12/2024,8/19/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,9
29,Ivanka,Female,19,Russian,7/30/2024,8/6/2024,8/13/2024,0,2,1,Leisure,Completed,First-Time Visitor,3,16
30,CHRISTIAN WELLINGMEISTER,Male,34,Russian,7/22/2024,7/29/2024,8/5/2024,0,2,1,Business,Completed,First-Time Visitor,9,21
31,SANJAY GUPTA,Male,45,Russian,7/17/2024,7/24/2024,7/31/2024,1,3,2,Business,Completed,Regular Guest,6,16
32,Mrs Aishwarya Mishra,Female,39,Russian,7/14/2024,7/21/2024,7/28/2024,1,3,2,Leisure,Completed,Regular Guest,3,16
33,Ms Angelo Curry,Female,32,Indian,7/12/2024,7/19/2024,7/26/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,8
34,Mr Raghu Kadoju,Male,46,Russian,7/7/2024,7/14/2024,7/21/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,4,16
35,Alfred Chan,Male,54,Russian,7/5/2024,7/12/2024,7/19/2024,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
36,Brian,Male,42,Russian,7/2/2024,7/9/2024,7/16/2024,0,2,1,Leisure,Late Check-Out,First-Time Visitor,3,8
37,Mr Ehsan M,Male,55,Russian,6/26/2024,7/3/2024,7/10/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,8
38,Jordan Chen,Female,37,Russian,6/23/2024,6/30/2024,7/7/2024,0,2,1,Leisure,Completed,First-Time Visitor,9,21
39,Mrs Alicia S Pine,Female,30,Saudi Arabian,6/23/2024,6/30/2024,7/7/2024,0,2,1,Leisure,Completed,First-Time Visitor,4,16
40,Mrs Calvin Zuniga,Male,47,Turkish,6/21/2024,6/28/2024,7/5/2024,0,2,1,Leisure,Completed,First-Time Visitor,9,21
41,Mr Dinesh,Male,44,Russian,6/12/2024,6/19/2024,6/26/2024,1,3,2,Corporate,Completed,First-Time Visitor,3,16
42,Eric,Male,27,Indian,6/11/2024,6/18/2024,6/25/2024,0,2,1,Leisure,Late Check-Out,First-Time Visitor,3,16
43,Mr Achmad Nugroho,Male,39,Turkish,6/11/2024,6/18/2024,6/25/2024,1,3,2,Leisure,Completed,First-Time Visitor,4,8
44,Vipul,Male,38,Iranian,6/11/2024,6/18/2024,6/25/2024,1,3,2,Leisure,Completed,Regular Guest,4,8
45,Mr Saad Bin Saleh,Male,37,Turkish,6/10/2024,6/17/2024,6/24/2024,0,2,1,Leisure,Late Check-Out,First-Time Visitor,9,21
46,Michael,Male,32,Russian,6/10/2024,6/17/2024,6/24/2024,1,3,2,Leisure,Completed,First-Time Visitor,9,21
47,James,Male,35,Azerbaijani,6/3/2024,6/10/2024,6/21/2024,0,2,1,Leisure,Completed,First-Time Visitor,9,16
48,Mrs Danille Proudfoot,Female,61,Russian,6/2/2024,6/9/2024,6/20/2024,1,3,2,Leisure,Completed,First-Time Visitor,3,21
49,Miss Vivianna Tadd,Male,36,Russian,6/12/2024,6/19/2024,6/26/2024,0,2,1,Leisure,Completed,First-Time Visitor,9,21
50,Julie,Female,30,Russian,6/11/2024,6/18/2024,6/25/2024,0,2,1,Corporate,Completed,Regular Guest,9,21
51,Sibir,Female,25,Russian,10/22/2016,10/22/2016,10/24/2016,1,3,2,Leisure,Completed,First-Time Visitor,4,16
52,Ms Ruth A Parrish,Female,29,Azerbaijani,6/6/2018,7/9/2018,7/10/2018,1,3,2,Corporate,Completed,Regular Guest,3,27
53,Taiyeb Ibrahim,Male,37,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Completed,First-Time Visitor,9,21
54,SARA,Female,54,Russian,1/9/2022,1/16/2022,1/20/2022,1,3,2,Leisure,Late Check-Out,First-Time Visitor,4,21
55,Chakib,Male,36,Azerbaijani,3/11/2021,3/11/2021,3/12/2021,1,3,2,Leisure,Completed,First-Time Visitor,3,16
56,Mr Shakti S Kodiyankara,Male,66,Russian,4/15/2023,4/16/2023,4/18/2023,0,2,1,Business,Completed,First-Time Visitor,4,8
57,Mr Srihari Rittala,Male,32,Russian,1/1/2023,2/1/2023,2/10/2023,0,2,1,Leisure,Late Check-Out,First-Time Visitor,9,21
58,James,Male,55,Azerbaijani,3/14/2020,3/14/2020,3/14/2020,1,3,2,Leisure,Completed,Regular Guest,4,16
59,Mr Shaun Hess,Male,38,Russian,6/8/2016,8/15/2016,8/16/2016,1,3,2,Leisure,Completed,First-Time Visitor,3,15
60,Mr Zhang,Male,46,Russian,6/23/2019,6/24/2019,7/1/2019,0,2,1,Leisure,Late Check-Out,First-Time Visitor,7,8
61,Mr Eric Samuel,Male,33,Azerbaijani,5/26/2019,5/27/2019,5/29/2019,1,3,2,Leisure,Late Check-Out,Regular Guest,4,8
62,Rohan,Female,21,Azerbaijani,1/1/2023,2/1/2023,2/10/2023,1,3,2,Business,Completed,First-Time Visitor,9,21
63,Megha,Female,39,Turkish,8/14/2019,8/14/2019,8/17/2019,0,2,1,Leisure,Late Check-Out,First-Time Visitor,3,16
64,PATEL PREM,Female,32,Indian,5/11/2019,5/11/2019,5/17/2019,1,3,2,Leisure,Completed,First-Time Visitor,6,16
65,Mr Rakesh Gautam,Male,24,Russian,9/22/2019,9/22/2019,9/25/2019,1,3,2,Business,Completed,Regular Guest,3,16
66,Alan,Male,23,Indian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Completed,First-Time Visitor,9,21
67,Orhan,Male,42,Turkish,7/21/2020,7/21/2020,8/16/2020,1,3,2,Business,Completed,First-Time Visitor,46,16
68,MARCEL,Male,32,Turkish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
69,SUMILA T N,Male,66,Spanish,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
70,BRYAN,Male,58,Azerbaijani,6/17/2019,6/18/2019,6/20/2019,0,2,1,Leisure,Completed,Regular Guest,4,8
71,Shankar,Male,28,Russian,11/15/2020,11/16/2020,11/18/2020,1,3,2,Leisure,Completed,Regular Guest,4,8
72,Dora,Female,42,Russian,1/1/2023,2/1/2023,2/10/2023,1,3,2,Leisure,Late Check-Out,First-Time Visitor,9,21
73,Dipankar Saha,Male,36,Russian,9/8/2019,9/10/2019,9/11/2019,1,3,2,Leisure,Late Check-Out,First-Time Visitor,3,21
74,Ms Jasmine,Female,50,American,2/24/2019,2/25/2019,3/2/2019,0,2,1,Leisure,Completed,First-Time Visitor,5,8
75,Durga Surya,Male,43,Russian,7/12/2018,9/1/2018,9/3/2018,0,2,1,Leisure,Completed,Regular Guest,4,15
76,Deborah,Male,28,Iranian,5/6/2019,5/7/2019,5/10/2019,0,2,1,Business,Completed,First-Time Visitor,3,8
77,Brian,Male,36,Russian,3/16/2016,3/16/2016,3/21/2016,1,3,2,Leisure,Completed,First-Time Visitor,5,16
