GuestlD,GuestName,Gender,Age,CustomerNationality,BookingDate,CheckInDate,CheckOutDate,Children,Adults,TotalGuests,RoomCount,CustomerType,ReservationStatus,RepeatGuests
1,Mohammed Davis,Male,44,Russian,8/12/2024,8/19/2024,8/19/2024,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
2,Amit Johnson,Female,43,Russian,8/12/2024,8/19/2024,8/19/2024,0,N/A,5,3 room,Business,Completed,First_Time Visitor
3,Ali Brown,Male,37,Turkish,8/10/2024,8/17/2024,8/17/2024,0,N/A,2,1 room,Leisure,Completed,First_Time Visitor
4,Carlos Garcia,Male,28,Azerbaijani,8/9/2024,8/16/2024,8/16/2024,2,N/A,4,2 room,Business,Completed,First_Time Visitor
5,Anita Brown,Male,39,Indian,8/1/2024,8/9/2024,8/9/2024,0,N/A,2,1 room,Leisure,Late Check-Out,First-Time Visitor
6,Amit Johnson,Male,46,Russian,8/1/2024,8/8/2024,8/8/2024,0,N/A,5,3 room,Leisure,Completed,First-Time Visitor
7,Anita Johnson,Male,35,Turkish,7/22/2024,7/29/2024,7/29/2024,0,N/A,2,1 room,Leisure,Completed,Regular Guest
8,Priya Garcia,Male,37,Russian,7/10/2024,7/17/2024,7/17/2024,0,N/A,4,2 room,Leisure,Completed,First_Time Visitor
9,Fatima Miller,Female,42,Russian,7/10/2024,7/17/2024,7/17/2024,0,N/A,4,2 room,Leisure,Late Check-Out,First_Time Visitor
10,Azerbaijaniisca Smith,Male,34,Saudi Arabian,7/1/2024,7/8/2024,7/8/2024,3,N/A,5,3 room,Leisure,Late Check-Out,First-Time Visitor
11,Mohammed Davis,Male,44,Russian,7/1/2024,7/8/2024,7/8/2024,0,N/A,2,1 room,Leisure,Late Check-Out,Regular Guest
12,Amit Johnson,Female,43,Russian,7/1/2024,7/8/2024,7/8/2024,0,N/A,5,3 room,Leisure,Completed,First-Time Visitor
13,Ali Brown,Male,37,Iranian,6/17/2024,6/24/2024,6/24/2024,0,N/A,2,1 room,Leisure,Completed,Regular Guest
14,Carlos Garcia,Male,28,German,6/17/2024,6/24/2024,6/24/2024,2,N/A,4,2 room,Corporate,Completed,First_Time Visitor
15,Anita Brown,Male,39,Russian,6/16/2024,6/23/2024,6/23/2024,0,N/A,2,1 room,Leisure,Late Check-Out,First_Time Visitor
16,Amit Johnson,Male,46,Russian,6/12/2024,6/19/2024,6/19/2024,0,N/A,5,3 room,Leisure,Completed,Regular Guest
17,Anita Johnson,Male,35,Turkish,6/12/2024,6/19/2024,6/19/2024,0,N/A,2,1 room,Leisure,Completed,First-Time Visitor
18,Priya Garcia,Male,37,Saudi Arabian,6/6/2024,6/13/2024,6/13/2024,0,N/A,4,2 room,Business,Completed,First-Time Visitor
19,Fatima Miller,Female,42,Azerbaijani,6/5/2024,6/10/2024,6/10/2024,0,N/A,4,2 room,Leisure,Late Check-Out,Regular Guest
20,John Smith,Male,34,Turkish,6/2/2024,6/7/2024,6/7/2024,3,N/A,5,3 room,Leisure,Late Check-Out,First-Time Visitor
21,Nick,Male,45,Saudi Arabian,5/24/2024,5/31/2024,5/31/2024,0,N/A,2,2 room,Leisure,Completed,First-Time Visitor
22,Jenny,Female,38,Russian,5/19/2024,5/26/2024,5/26/2024,0,N/A,2,1 room,Corporate,Completed,Regular Guest
23,Mrs. Yuki Yoshida,Female,32,Turkish,7/1/2024,7/8/2024,7/8/2024,0,N/A,2,1 room,Leisure,Completed,Regular Guest
